doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
Settings / Enviornment settings,Sensor settings screen,,,sensors.settings.temperature.hint,temperature_best_range_tip,"Ideal temperatures may vary by region, Please consult your local pediatrician for advice.",各地區適合溫度會有不同，請諮詢當地醫師建議調整。,各地区适合温度会有不同，请咨询当地医师建议调整。,อุณหภูมิในอุดมคติอาจแตกต่างกันไปตามภูมิภาคโปรดปรึกษากุมารแพทย์ท้องถิ่นของคุณเพื่อขอคำแนะนำ,Die idealen Temperaturen können je nach Region variieren. Bitte wenden Sie sich an Ihren Kinderarzt vor Ort.
Settings / Enviornment settings,Sensor settings screen,,,,temperature_range_label,Temperature range: %d-%d%s,設定的溫度區間為 %d-%d%s,设置的温度区间为 %d-%d%s,ช่วงอุณหภูมิ:%d-%d%s,Temperaturbereich: %d-%d%s
Settings / Enviornment settings,"Sensor settings screen, Home screen, Landscape live streaming",,,sensors.settings.temperature,temperature,Temperature,溫度,温度,อุณหภูมิ,Temperatur
Settings / Enviornment settings,Sensor settings screen,,[VIRTUS] In Android is used the key: temperature_best_range_tip,sensors.settings.hint,,The comfort %s range for the baby is %d-%d %s,提醒您，適合寶寶的環境%s建議值為%d~%d %s,温馨提示，适合宝宝的环境%s建议值为%d~%d %s,ช่วงความสะดวกสบาย %s สำหรับทารกคือ %d- %d %s,Der Komfortbereich %s für das Baby liegt zwischen %d und %d %s
Settings / Enviornment settings,Sensor settings screen,,,settings.temperatureUnit,temperature_unit_label,Temperature,溫度單位,温度单位,อุณหภูมิ,Temperatur
Settings / Member permission,Member Permission,,,members.permissions.contentPlaying,content_playing_title,Audible content,有聲內容服務,有声内容服务,เนื้อหาเสียง,Audio-Inhalte
Settings / Member permission,Member Permission,,,members.permissions.liveStreaming,live_streaming_title,Live streaming,即時影像,即时影像,การสตรีมสด,Live-Streaming
Settings / Member permission,Member Permission,,,members.permissions.playback,playback_title,Playback,影像回放,影像回放,การเล่น,Wiedergabe
Settings / Member permission,Member Permission,,,members.permissions.staticHeader.preciousMoment,precious_moment_title,Precious Moment,珍貴回憶,珍贵回忆,ช่วงเวลาที่มีค่า,Kostbarer Moment
Settings / Member permission,Member Permission,,,members.permissions.TwoWayTalk,two_way_talk_title,2-way talk,雙向對話,双向对话,พูดคุย 2 ทาง,2-Wege-Sprechen
Settings / Member permission,Member Permission,,,members.permissions.specialCardsEditor,,Themed Frames editing,編輯主題相框權限設定,编辑主题相框权限设定,การแก้ไขเฟรมธีม,Bearbeitung thematischer Rahmen
Settings / Member permission,,,,members.permissions.specialCardsEditor.subtitle,settings_member_permission_special_cards_can_be_edited_when_authorized,Themed Frames can be edited by authorized users.,開啟共享親友可編輯主題相框權限,开启共享亲友可编辑主题相框权限,เฟรมธีมสามารถแก้ไขได้โดยผู้ใช้ที่ได้รับอนุญาต,Themenrahmen können von autorisierten Benutzern bearbeitet werden.
Settings / Member permission,Member Permission,,,members.permissions.eventHistoryVideo,setting_member_permission_event_video,Event Video,事件影像紀錄,事件影像纪录,วิดีโอเหตุการณ์,Veranstaltungsvideo
Settings / Member permission,Member Permission / descriptive text used for private photos settings in member permissions,,,members.permissions.message.privatePhoto,setting_member_permission_contents_can_only_be_viewed_when_authorized,Only authorized users can access capture and whole photos.,只有獲得授權後才能拍照及查看所有內容,只有获得授权后才能拍照及查看所有内容,ผู้ใช้ที่ได้รับอนุญาตเท่านั้นสามารถเข้าถึงการจับภาพและภาพถ่ายทั้งหมด,Nur autorisierte Benutzer können auf Aufnahmen und ganze Fotos zugreifen.
Settings / Member permission,Member Permission / descriptive text used for event video settings in member permissions,,,members.permissions.message.eventVideo,setting_member_permission_video_contents_can_only_be_viewed_when_authorized,Contents can only be viewed by authorized users.,獲得授權後才能查看到內容,获得授权后才能查看到内容,เนื้อหาสามารถดูได้โดยผู้ใช้ที่ได้รับอนุญาตเท่านั้น,Inhalte können nur von autorisierten Benutzern eingesehen werden.
Settings / Pixsee profile,Profile Settings screen,,,check,check_fw_upgrade,Check,檢查更新,检查更新,ตรวจสอบ,Überprüfen
Settings / pixsee profile,Profile Settings screen,,,profileSettings.location,device_location,Device location,放置地點,放置地点,ตำแหน่งอุปกรณ์,Gerätestandort
Settings / pixsee profile,Profile Settings screen,,,firmware.version,firmware_current_version,Current version is %1$s,目前版本 %1$s,目前版本 %1$s,เวอร์ชันปัจจุบันคือ %1$s,Aktuelle Version ist %1$s
Settings / pixsee profile,Profile Settings screen,,,latestFirmwareRelease,firmware_is_released_on,The latest update %s has been released.,最新的版本%1$s已發布,最新的版本%1$s已发布,การอัปเดตล่าสุด %s ได้รับการเผยแพร่แล้ว,Das neueste Update %s wurde veröffentlicht.
Settings / Pixsee profile,,,,firmwareUpdated.message,firmware_up_to_date,The camera is up to date.,攝影機版本已是最新版,摄影机版本已是最新版,กล้องมีความทันสมัย,Die Kamera ist auf dem neuesten Stand.
Settings / pixsee profile,Profile Settings screen,,,firmware.latestFirmwareMessage,firmware_version_is_ready,Version %s is ready to be installed.,Pixsee系統有 %s 可更新,Pixsee系统有 %s 可更新,เวอร์ชัน %s พร้อมที่จะติดตั้ง,Version %s ist zur Installation bereit.
Settings / pixsee profile,"Profile Settings screen, Device settings",,,profileSettings,profile_settings,Pixsee profile,攝影機資訊,摄像头信息,โปรไฟล์ Pixsee,Pixsee-Profil
Settings / pixsee profile,"Profile Settings screen, Setup Success screen",,,timezone,timezone,Time zone,時區,时区,เขตเวลา,Zeitzone
Settings / pixsee profile,"Profile Settings screen, Delete device screen, Galery media remove confirmation dialog",,,unbind,unbind,Unbind,解除綁定,解除绑定,ปลด,Lösen
#N/A,Profile Settings screen,,,update,update,Update,更新,更新,อัปเดต,Aktualisieren
Settings / pixsee profile,"Profile Settings screen don't remove power from device dialog, Home screen don't remove power from device dialog",,,firmware.willUpgrade.modal.upgrade,upgrade_now,Update now,立即更新,立即更新,อัปเดตตอนนี้,Jetzt aktualisieren
Settings / Pixsee profile / Device info dialog,,,,deviceInfo.title,device_info_title,Device info.,裝置資訊,装置资讯,ข้อมูลอุปกรณ์.,Geräteinformationen.
Settings / Pixsee profile / Device info dialog,,,,deviceInfo.productName,device_info_product_name,Product name:,產品名稱:,产品名称:,ชื่อผลิตภัณฑ์:,Produktname:
Settings / Pixsee profile / Device info dialog,,,,deviceInfo.productModel,device_info_product_model,Product model:,產品型號:,产品型号:,รุ่นผลิตภัณฑ์:,Produktmodell:
Settings / Pixsee profile / Device info dialog,,,,deviceInfo.serialNumber,device_info_serial_number,Serial number:,產品序號:,产品序号:,หมายเลขซีเรียล:,Seriennummer:
Settings / Pixsee profile / Device info dialog,,,,deviceInfo.warrantyPeriod,device_info_warranty_period,Warranty period:,保固期限:,保固期限:,ระยะเวลาการรับประกัน:,Garantiezeitraum:
Settings / pixsee settings,Device settings,,,backgroundPlay.discardChanges,bg_play_discard_changes_message,Discard background monitoring settings?,取消背景監控設定?,取消后台监控设置？,ละทิ้งการตั้งค่าการตรวจสอบพื้นหลัง?,Hintergrundüberwachungseinstellungen verwerfen?
Settings / pixsee settings,Detection settings screen,,,efence.detection,area_detection,Area Detection,區域偵測,区域侦测,การตรวจหาพื้นที่,Bereichserkennung
Settings / pixsee settings,Detection settings screen,,,nightVision,detection_settings_night_vision,Night mode,紅外線夜視模式,红外线夜视模式,โหมดกลางคืน,Nachtmodus
Settings / pixsee settings,Detection settings screen,,,nightVision.description,detection_settings_night_vision_subtext,Auto-switch to the night mode when the environment is too dark.,當偵測到環境光線過暗時，自動開啟夜視模式。,当侦测到环境光线过暗时，自动开启夜视模式。,การสลับอัตโนมัติไปยังโหมดกลางคืนเมื่อสภาพแวดล้อมมืดเกินไป,"Automatischer Wechsel in den Nachtmodus, wenn die Umgebung zu dunkel ist."
Settings / pixsee settings,,,,deviceSettings,device_settings,Pixsee settings,Pixsee設定,Pixsee设置,การตั้งค่า Pixsee,Pixsee-Einstellungen
Settings / pixsee settings,Device settings,,,indicatorLed,indicator_led,LED indicator,指示燈號,指示灯,ตัวบ่งชี้ที่นำ,LED-Anzeige
Settings / Pixsee settings,Privacy control description,,[VIRTUS] In Android this feature is not yet implemented ,privacyControl.description,privacy_control_subtext,Auto set all photos taken by Pixsee as private.,將裝置自動拍攝的照片都設定為隱私,将装置自动拍摄的照片都设定为隐私,ตั้งค่ารูปภาพทั้งหมดที่ถ่ายโดย Pixsee เป็นส่วนตัว,Alle von Pixsee aufgenommenen Fotos automatisch als privat festlegen.
Settings / Pixsee settings,Privacy control title,,[VIRTUS] In Android this feature is not yet implemented ,privacyControl.title,privacy_control_vision,Privacy Settings,隱私設定,隐私设定,การตั้งค่าความเป็นส่วนตัว,Datenschutzeinstellungen
Settings / pixsee settings,Device settings,,,wifiSettings,wifi_settings,Wi-Fi settings,Wi-Fi 設定,无线网络设置,การตั้งค่า Wi-Fi,WLAN-Einstellungen
Settings /e-Fence,e-Fence settings screen,,,efence.define.safe.area,detection_settings_safety_area_title,Drag points to specify the safe area,請拖曳端點設定安全區域範圍,请拖曳端点设定安全区域范围,ลากจุดเพื่อระบุพื้นที่ปลอดภัย,"Ziehen Sie Punkte, um den sicheren Bereich festzulegen"
Settings /e-Fence,e-Fence settings screen,,,efence.dangerousArea,efence_dangerous_area,Keep baby out,進入危險區域,进入危险区域,ให้ลูกน้อยออก,Halten Sie das Baby draußen
Settings /e-Fence,e-Fence settings screen,,,efence.safetyArea,efence_safety_area,Keep baby in,離開安全區域,离开安全区域,ให้ลูกน้อย,Behalten Sie das Baby im Haus
Settings /e-Fence,e-Fence settings screen,,,efence.detection.desciption,efence_settings_status_description,Notify when someone is leaving or entering the designated area.,當偵測到設定區域有離開/進入動靜時會發出通知。,当侦测到设定区域有离开/进入动静时会发出通知。,แจ้งเตือนเมื่อมีคนออกจากหรือเข้าสู่พื้นที่ที่กำหนด,"Benachrichtigen Sie, wenn jemand den vorgesehenen Bereich verlässt oder betritt."
